Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code
387000,1,2016-01-22,2016-01-26,224434,0,1729,2,CAD
387001,1,2016-01-22,,2011796,51,39,5,USD
387002,1,2016-01-22,,1368025,44,429,2,USD
387003,1,2016-01-22,,368610,8,144,5,CAD
387004,1,2016-01-22,,1307296,53,709,6,USD
387005,1,2016-01-22,,938399,36,1816,3,GBP
387006,1,2016-01-22,,1616350,51,1576,1,USD
387007,1,2016-01-22,,549936,24,1264,2,EUR
388000,1,2016-01-23,,97611,5,928,6,AUD
388001,1,2016-01-23,2016-01-27,1730210,0,1616,1,USD
388002,1,2016-01-23,,962533,36,460,2,GBP
388003,1,2016-01-23,,205077,10,90,8,CAD
388004,1,2016-01-23,2016-01-31,776431,0,2104,1,EUR
388005,1,2016-01-23,,1893487,55,1601,4,USD
388006,1,2016-01-23,,1098143,41,1393,3,GBP
388007,1,2016-01-23,,1112613,42,459,4,GBP
388008,1,2016-01-23,,1170323,41,640,6,GBP
388009,1,2016-01-23,,930705,40,1585,3,GBP
388010,1,2016-01-23,,1001228,39,827,4,GBP
388011,1,2016-01-23,,1702898,61,454,5,USD
388012,1,2016-01-23,,2086544,50,2113,1,USD
388013,1,2016-01-23,2016-01-30,1559552,0,1657,1,USD
388014,1,2016-01-23,,1671541,57,1586,1,USD
390000,1,2016-01-25,,1699570,59,1581,1,USD
390001,1,2016-01-25,,1301552,51,189,2,USD
390002,1,2016-01-25,2016-02-06,2029518,0,537,3,USD
390003,1,2016-01-25,,253233,10,1635,1,CAD
390004,1,2016-01-25,,1321513,48,152,2,USD
390005,1,2016-01-25,,549766,22,1558,3,EUR
391000,1,2016-01-26,,881876,32,2108,1,EUR
391001,1,2016-01-26,2016-02-02,361945,0,1841,1,CAD
391002,1,2016-01-26,,1201225,45,1636,1,USD
391003,1,2016-01-26,,1427869,44,1370,1,USD
391004,1,2016-01-26,,444160,19,1588,3,EUR
391006,1,2016-01-26,,1885990,51,1467,1,USD
391007,1,2016-01-26,,125950,6,1705,1,AUD
392000,1,2016-01-27,,1302998,51,1613,3,USD
392001,1,2016-01-27,,1227891,54,155,2,USD
392002,1,2016-01-27,,1855347,59,430,2,USD
392003,1,2016-01-27,2016-02-04,1471397,0,156,8,USD
392004,1,2016-01-27,2016-02-01,401785,0,2118,3,EUR
392005,1,2016-01-27,,1458301,48,1586,1,USD
392006,1,2016-01-27,,1310403,65,149,6,USD
392007,1,2016-01-27,,1079159,41,84,5,GBP
392008,1,2016-01-27,,992150,39,1659,3,GBP
392009,1,2016-01-27,,1724829,54,2161,3,USD
392010,1,2016-01-27,,651767,18,1629,5,EUR
393001,1,2016-01-28,,530451,19,2267,7,EUR
393002,1,2016-01-28,,792110,28,662,9,EUR
393003,1,2016-01-28,,1188400,38,2000,2,GBP
393004,1,2016-01-28,2016-02-09,2007813,0,415,3,USD
393005,1,2016-01-28,,1112419,39,175,6,GBP
393006,1,2016-01-28,,1765324,51,417,2,USD
393007,1,2016-01-28,,1206405,45,1763,1,USD
393008,1,2016-01-28,,1823888,57,2038,1,USD
393009,1,2016-01-28,,1765579,56,2024,1,USD
393010,1,2016-01-28,2016-02-06,313968,0,1616,7,CAD
394000,1,2016-01-29,2016-02-09,1736019,0,979,1,USD
394001,1,2016-01-29,,186894,5,1228,5,AUD
394002,1,2016-01-29,,452923,27,1695,1,EUR
394003,1,2016-01-29,,431461,27,326,2,EUR
394004,1,2016-01-29,,602720,16,1417,2,EUR
394005,1,2016-01-29,,1810401,65,174,4,USD
394006,1,2016-01-29,,1041067,37,1802,6,GBP
394007,1,2016-01-29,,1337730,63,2077,5,USD
395000,1,2016-01-30,,829132,32,128,4,EUR
395001,1,2016-01-30,,216550,10,2089,3,CAD
395002,1,2016-01-30,,250944,8,105,3,CAD
395003,1,2016-01-30,,1296866,54,2355,2,USD
395004,1,2016-01-30,,2063107,45,1291,2,USD
395005,1,2016-01-30,,2082135,54,1630,5,USD
395006,1,2016-01-30,,127193,5,697,2,AUD
395007,1,2016-01-30,,1714451,54,1605,2,USD
395008,1,2016-01-30,,1401419,61,128,2,USD
395009,1,2016-01-30,,731556,29,1156,2,EUR
395010,1,2016-01-30,,1549964,55,1076,5,USD
395011,1,2016-01-30,,1114319,36,1587,1,GBP
395012,1,2016-01-30,,1418448,65,1784,7,USD
395014,1,2016-01-30,,1178352,42,1605,10,GBP
397000,1,2016-02-01,,1677739,55,1649,9,USD
397001,1,2016-02-01,,1140654,37,1458,6,GBP
397002,1,2016-02-01,2016-02-09,1348253,0,1607,2,USD
397003,1,2016-02-01,,760816,29,955,1,EUR
397004,1,2016-02-01,2016-02-10,1866421,0,123,2,USD
397005,1,2016-02-01,,1650783,64,1192,10,USD
398000,1,2016-02-02,,1110229,42,1799,1,GBP
398001,1,2016-02-02,,130214,5,1588,7,AUD
398002,1,2016-02-02,,1822089,44,160,4,USD
398003,1,2016-02-02,,1355155,51,31,1,USD
398004,1,2016-02-02,,1001493,36,70,2,GBP
398005,1,2016-02-02,,1761462,63,1642,5,USD
398006,1,2016-02-02,,857287,34,1274,1,EUR
398007,1,2016-02-02,,1042883,42,445,5,GBP
399000,1,2016-02-03,,1887449,64,1633,5,USD
399001,1,2016-02-03,,687377,12,1781,10,EUR
399002,1,2016-02-03,,1476450,51,2054,2,USD
399003,1,2016-02-03,,1232687,59,1631,5,USD
399004,1,2016-02-03,2016-02-11,822698,0,1058,3,EUR
399006,1,2016-02-03,,1363203,65,361,7,USD
399007,1,2016-02-03,,1191228,38,1576,1,GBP
399009,1,2016-02-03,,784001,28,735,5,EUR
399010,1,2016-02-03,,906625,36,1516,1,GBP
400000,1,2016-02-04,,1883755,61,138,2,USD
400001,1,2016-02-04,,264640,8,2037,1,CAD
400002,1,2016-02-04,,363872,9,54,1,CAD
400003,1,2016-02-04,,446883,27,164,8,EUR
400004,1,2016-02-04,,106880,5,1426,10,AUD
400005,1,2016-02-04,,2065817,65,1913,9,USD
400006,1,2016-02-04,2016-02-10,1996959,0,1284,3,USD
400007,1,2016-02-04,,1987941,63,152,5,USD
400009,1,2016-02-04,,1310047,45,1746,2,USD
400010,1,2016-02-04,2016-02-10,606808,0,1746,8,EUR
400011,1,2016-02-04,,1122248,37,458,2,GBP
401002,1,2016-02-05,,1787415,48,1583,2,USD
401003,1,2016-02-05,,376977,8,34,2,CAD
401004,1,2016-02-05,,1565847,47,667,6,USD
401005,1,2016-02-05,,953489,41,2044,7,GBP
401007,1,2016-02-05,,1774119,47,1494,3,USD
402000,1,2016-02-06,,1086200,37,1466,1,GBP
402001,1,2016-02-06,,732289,28,83,2,EUR
402002,1,2016-02-06,,1673191,47,1602,7,USD
402004,1,2016-02-06,,1906975,54,1134,5,USD
402005,1,2016-02-06,,941746,39,2301,7,GBP
402006,1,2016-02-06,,1763642,64,146,3,USD
402007,1,2016-02-06,,957784,41,1632,5,GBP
402008,1,2016-02-06,,1427596,61,191,3,USD
402009,1,2016-02-06,,783691,30,154,4,EUR
402010,1,2016-02-06,2016-02-13,1653624,0,974,3,USD
402011,1,2016-02-06,,1730479,59,147,4,USD
402012,1,2016-02-06,,1392371,51,505,8,USD
402013,1,2016-02-06,,729681,28,135,3,EUR
404000,1,2016-02-08,,1258466,54,136,3,USD
404001,1,2016-02-08,,495894,22,2153,2,EUR
404002,1,2016-02-08,,1324963,57,1612,3,USD
404004,1,2016-02-08,,368115,10,2502,1,CAD
404005,1,2016-02-08,2016-02-16,295597,0,491,1,CAD
405000,1,2016-02-09,,1548406,47,1683,2,USD
405001,1,2016-02-09,,1437592,50,375,8,USD
405002,1,2016-02-09,,474309,27,429,4,EUR
405003,1,2016-02-09,,582819,24,1648,3,EUR
405005,1,2016-02-09,2016-02-15,39894,0,1608,8,AUD
405006,1,2016-02-09,,622011,17,1618,1,EUR
405007,1,2016-02-09,,1906549,57,1413,2,USD
406000,1,2016-02-10,,1533894,50,1134,2,USD
406001,1,2016-02-10,2016-02-15,1610147,0,1684,5,USD
406002,1,2016-02-10,,1954639,47,1791,1,USD
406003,1,2016-02-10,,1310201,65,432,10,USD
406004,1,2016-02-10,,1389462,43,725,1,USD
406005,1,2016-02-10,,1883820,61,2495,7,USD
406006,1,2016-02-10,,761306,29,593,2,EUR
406007,1,2016-02-10,2016-02-20,1451764,0,1602,2,USD
406008,1,2016-02-10,,1827243,66,430,1,USD
406009,1,2016-02-10,,332217,8,537,3,CAD
406010,1,2016-02-10,,490481,20,1605,3,EUR
407000,1,2016-02-11,,526411,19,1369,3,EUR
407001,1,2016-02-11,,993480,37,1008,3,GBP
407002,1,2016-02-11,2016-02-16,1342915,0,1092,8,USD
407003,1,2016-02-11,,960606,38,1743,1,GBP
407004,1,2016-02-11,,307767,10,1674,2,CAD
407005,1,2016-02-11,,2043928,59,597,2,USD
407006,1,2016-02-11,,516663,27,1018,4,EUR
407007,1,2016-02-11,,224111,10,151,1,CAD
407009,1,2016-02-11,,367131,9,1863,6,CAD
407010,1,2016-02-11,2016-02-14,1380756,0,1580,1,USD
407011,1,2016-02-11,,1983649,50,596,1,USD
408001,1,2016-02-12,,322186,9,1252,5,CAD
408002,1,2016-02-12,,1297155,43,1279,3,USD
408003,1,2016-02-12,,1716565,61,1584,7,USD
408004,1,2016-02-12,,784296,29,1679,2,EUR
408005,1,2016-02-12,,1788888,57,449,6,USD
408006,1,2016-02-12,,1551319,61,157,3,USD
408007,1,2016-02-12,,656387,14,654,2,EUR
408008,1,2016-02-12,,326510,10,1707,4,CAD
408010,1,2016-02-12,,1908175,47,115,2,USD
409000,1,2016-02-13,,1747015,64,125,2,USD
409001,1,2016-02-13,2016-02-17,1856221,0,2094,2,USD
409002,1,2016-02-13,,1959938,66,560,7,USD
409003,1,2016-02-13,,919575,38,1315,1,GBP
409004,1,2016-02-13,,1303360,53,1634,1,USD
409005,1,2016-02-13,,1156077,42,1334,2,GBP
409006,1,2016-02-13,,1345382,56,2435,1,USD
409007,1,2016-02-13,,65163,5,1743,2,AUD
409008,1,2016-02-13,,581812,20,47,1,EUR
409009,1,2016-02-13,,824810,32,2488,4,EUR
409010,1,2016-02-13,,1179746,39,2093,2,GBP
409011,1,2016-02-13,,471223,23,437,5,EUR
409012,1,2016-02-13,,2044567,57,1243,5,USD
409013,1,2016-02-13,,1837049,64,1458,2,USD
409014,1,2016-02-13,,448232,19,451,10,EUR
409015,1,2016-02-13,,613693,15,1175,2,EUR
409016,1,2016-02-13,,1451919,63,1402,6,USD
409018,1,2016-02-13,,1083191,37,2023,1,GBP
409019,1,2016-02-13,,1157316,41,184,1,GBP
409020,1,2016-02-13,2016-02-24,250944,0,1977,1,CAD
409021,1,2016-02-13,2016-02-22,730203,0,1642,1,EUR
409022,1,2016-02-13,2016-02-25,944448,0,1850,4,GBP
410000,1,2016-02-14,,1349131,51,1605,1,USD
410001,1,2016-02-14,,316485,10,609,7,CAD
411000,1,2016-02-15,,761306,30,148,3,EUR
411001,1,2016-02-15,,1796950,63,1063,2,USD
411002,1,2016-02-15,2016-02-25,1965605,0,1616,4,USD
411003,1,2016-02-15,,1602459,65,86,3,USD
411004,1,2016-02-15,,1916734,61,1603,4,USD
411005,1,2016-02-15,,211746,9,80,1,CAD
411006,1,2016-02-15,,1627570,63,2090,2,USD
411007,1,2016-02-15,,950191,39,1599,3,GBP
411009,1,2016-02-15,,676059,17,1644,4,EUR
411010,1,2016-02-15,,1942072,59,608,5,USD
411011,1,2016-02-15,,1909649,47,2078,10,USD
412000,1,2016-02-16,,1611938,59,2169,10,USD
412001,1,2016-02-16,,1482513,43,2165,1,USD
412002,1,2016-02-16,2016-02-21,1845084,0,191,4,USD
412003,1,2016-02-16,,311493,10,2275,1,CAD
412004,1,2016-02-16,,1076568,37,2050,4,GBP
412005,1,2016-02-16,2016-02-21,1838833,0,1271,1,USD
412006,1,2016-02-16,,375538,10,1771,3,CAD
412007,1,2016-02-16,,213985,9,1755,1,CAD
412008,1,2016-02-16,,950191,41,394,6,GBP
412009,1,2016-02-16,,1375827,43,1693,6,USD
412010,1,2016-02-16,,1428180,44,126,2,USD
412011,1,2016-02-16,,1698157,63,1261,10,USD
412012,1,2016-02-16,,1813538,57,1365,2,USD
412013,1,2016-02-16,,587649,24,1612,1,EUR
412014,1,2016-02-16,,1474834,53,1650,3,USD
412015,1,2016-02-16,,1240530,57,1600,1,USD
413001,1,2016-02-17,,1857461,45,1689,10,USD
413002,1,2016-02-17,,943159,37,1613,3,GBP
413003,1,2016-02-17,,1049709,42,1645,3,GBP
413005,1,2016-02-17,,1437978,64,2011,1,USD
413007,1,2016-02-17,,986569,40,1704,2,GBP
413008,1,2016-02-17,,703938,28,148,1,EUR
413009,1,2016-02-17,,1868588,44,1308,4,USD
413010,1,2016-02-17,,122511,6,1268,2,AUD
413011,1,2016-02-17,2016-02-26,246888,0,1637,5,CAD
413012,1,2016-02-17,,980266,36,1305,3,GBP
413013,1,2016-02-17,,1737226,55,1115,1,USD
413014,1,2016-02-17,,1062632,37,65,1,GBP
413015,1,2016-02-17,,200992,9,1779,1,CAD
413016,1,2016-02-17,,366856,8,2106,3,CAD
413017,1,2016-02-17,,1239489,59,76,1,USD
413018,1,2016-02-17,,643186,17,1582,1,EUR
413020,1,2016-02-17,,2096292,50,1615,1,USD
413023,1,2016-02-17,,1461041,63,166,3,USD
414001,1,2016-02-18,,858760,31,50,3,EUR
414002,1,2016-02-18,,1290284,54,1694,2,USD
414003,1,2016-02-18,,923165,37,1361,4,GBP
414004,1,2016-02-18,,131976,4,2160,4,AUD
414005,1,2016-02-18,,1094291,41,1719,2,GBP
414007,1,2016-02-18,,2055720,50,1295,1,USD
414008,1,2016-02-18,,1441384,48,1289,5,USD
414009,1,2016-02-18,,1568316,66,1438,6,USD
414010,1,2016-02-18,,1279593,63,133,1,USD
414011,1,2016-02-18,,1952169,51,1836,2,USD
414012,1,2016-02-18,,368190,8,1655,4,CAD
414013,1,2016-02-18,,1771296,64,1913,2,USD
414014,1,2016-02-18,,1338452,54,1081,1,USD
414015,1,2016-02-18,2016-02-25,1849306,0,2250,2,USD
414016,1,2016-02-18,2016-02-28,574956,0,1816,1,EUR
414017,1,2016-02-18,,728312,30,1073,2,EUR
414018,1,2016-02-18,,737327,30,2458,2,EUR
414020,1,2016-02-18,,1745187,56,1298,5,USD
414021,1,2016-02-18,,544035,19,1763,3,EUR
414022,1,2016-02-18,,328988,10,2494,6,CAD
414023,1,2016-02-18,,1749380,65,1654,1,USD
414024,1,2016-02-18,,1229784,50,2008,1,USD
415000,1,2016-02-19,,1676628,56,1218,2,USD
415002,1,2016-02-19,,758321,30,1239,2,EUR
415003,1,2016-02-19,,1870877,55,1262,2,USD
415004,1,2016-02-19,,1320851,63,1411,1,USD
415005,1,2016-02-19,,1592800,66,2082,4,USD
415007,1,2016-02-19,,1599307,51,108,1,USD
415008,1,2016-02-19,,2026025,63,427,3,USD
415009,1,2016-02-19,,402995,23,87,8,EUR
415011,1,2016-02-19,,450041,23,421,2,EUR
415012,1,2016-02-19,2016-02-27,390781,0,1991,1,CAD
415014,1,2016-02-19,,70912,5,2225,5,AUD
415015,1,2016-02-19,,1379027,44,1719,2,USD
415016,1,2016-02-19,2016-03-01,38613,0,1766,1,AUD
415017,1,2016-02-19,,1162503,37,1071,1,GBP
416000,1,2016-02-20,2016-02-27,1566584,0,960,1,USD
416001,1,2016-02-20,2016-02-26,1076623,0,438,3,GBP
416002,1,2016-02-20,,1900678,43,1968,3,USD
416003,1,2016-02-20,,916866,40,1191,3,GBP
416004,1,2016-02-20,,1304093,45,2059,2,USD
416007,1,2016-02-20,2016-03-01,413117,0,182,3,EUR
416008,1,2016-02-20,,757767,30,1612,3,EUR
416009,1,2016-02-20,2016-02-28,1202046,0,2143,2,USD
416010,1,2016-02-20,,1130812,42,1456,3,GBP
416011,1,2016-02-20,,1049861,37,1639,2,GBP
416012,1,2016-02-20,2016-03-03,446470,0,2152,2,EUR
